index,year,variable,annual_mean,long_term_mean,anomaly
3,2019,SM,2.5621959398002114,1.2912161453922437,1.2709797944079677
3,2019,Qg,0.013640367361560395,0.00821197790092017,0.005428389460640224
3,2019,Q0,0,0,0
3,2019,Q1,0.0021172565667006405,0.0010579955352461473,0.0010592610314544932
3,2019,Q2,0.011523110794859754,0.007153982365674009,0.004369128429185745
3,2019,STZ,0.02030663522512248,0.008570213015159664,0.011736422209962816
3,2019,SUZ,0.036537495977158316,0.015248727295601283,0.021288768681557033
3,2019,SLZ,1.5615426841320799,0.9694646718585213,0.5920780122735586
3,2019,q_sim,0.01271232876712328,0.007475063563466002,0.005237265203657278
3,2019,WB,0.021441627153553407,0.0020602750282264826,0.019381352125326923
3,2020,Prain,0.18980182225385075,0.19709780817283837,-0.007295985918987613
3,2020,Psnow,0,0,0
3,2020,SWE,0,0,0
3,2020,Msnow,0,0,0
3,2020,Total,0.18980182225385075,0.19709780817283837,-0.007295985918987613
3,2020,Rech,0.0038950449341859463,0.008570213015159664,-0.004675168080973718
3,2020,Eac,0.18629004363782015,0.1950375331446122,-0.00874748950679205
3,2020,SM,1.2163430557107784,1.2912161453922437,-0.07487308968146533
3,2020,Qg,0.008640076898923595,0.00821197790092017,4.280989980034247e-4
3,2020,Q0,0,0,0
3,2020,Q1,0,0.0010579955352461473,-0.0010579955352461473
3,2020,Q2,0.008640076898923595,0.007153982365674009,0.0014860945332495863
3,2020,STZ,0.0038950449341859463,0.008570213015159664,-0.004675168080973718
3,2020,SUZ,0.003895117210676326,0.015248727295601283,-0.011353610084924958
3,2020,SLZ,1.1708512668186082,0.9694646718585213,0.20138659496008693
3,2020,q_sim,0.009617486338797823,0.007475063563466002,0.002142422775331821
3,2020,WB,0.003511778616030689,0.0020602750282264826,0.0014515035878042062
3,2021,Prain,0.2641522456473833,0.19709780817283837,0.06705443747454495
3,2021,Psnow,0,0,0
3,2021,SWE,0,0,0
3,2021,Msnow,0,0,0
3,2021,Total,0.2641522456473833,0.19709780817283837,0.06705443747454495
3,2021,Rech,0.011035108468909217,0.008570213015159664,0.0024648954537495535
3,2021,Eac,0.21072434359211936,0.1950375331446122,0.015686810447507166
3,2021,SM,1.3822363621629103,1.2912161453922437,0.09102021677066663
3,2021,Qg,0.0071498554271323,0.00821197790092017,-0.0010621224737878705
3,2021,Q0,0,0,0
3,2021,Q1,2.745640746679479e-4,0.0010579955352461473,-7.834314605781993e-4
3,2021,Q2,0.006875291352464351,0.007153982365674009,-2.786910132096584e-4
3,2021,STZ,0.011035108468909217,0.008570213015159664,0.0024648954537495535
3,2021,SUZ,0.011537406407932067,0.015248727295601283,-0.0037113208876692165
3,2021,SLZ,0.9316981415735772,0.9694646718585213,-0.03776653028494403
3,2021,q_sim,0.006027397260273952,0.007475063563466002,-0.0014476663031920498
3,2021,WB,0.053427902055263994,0.0020602750282264826,0.05136762702703751
3,2022,Prain,0.6168282623350579,0.19709780817283837,0.41973045416221955
3,2022,Psnow,0,0,0
3,2022,SWE,0,0,0
3,2022,Msnow,0,0,0
3,2022,Total,0.6168282623350579,0.19709780817283837,0.41973045416221955
3,2022,Rech,0.06571559300325806,0.008570213015159664,0.0571453799880984
3,2022,Eac,0.5938687815606231,0.1950375331446122,0.39883124841601086
3,2022,SM,4.312574159487895,1.2912161453922437,3.021358014095651
3,2022,Qg,0.056537957696881476,0.00821197790092017,0.0483259797959613
3,2022,Q0,0,0,0
3,2022,Q1,0.012845195829339944,0.0010579955352461473,0.011787200294093797
3,2022,Q2,0.0436927618675415,0.007153982365674009,0.03653877950186749
3,2022,STZ,0.06571559300325806,0.008570213015159664,0.0571453799880984
3,2022,SUZ,0.13342506648671063,0.015248727295601283,0.11817633919110934
