catchment_id,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
193,263.959,167.990,9.904,44.064,3.051,0.049,0.001,0.049,3.467,305.832,-41.873,136.072,94.199,0.339,0.136,0.084,0.098,0.596,0.003,0.012,0.003,0.599,0.039,0.548,3.438,0.027,0.006,0.015,0.006,0.038,0.075,0.611,0.027,0.048,1.187,433.252,223.472,2001.507
194,258.502,173.221,9.524,42.341,3.053,0.045,0.001,0.044,2.708,302.498,-43.997,140.309,96.313,0.347,0.137,0.083,0.099,0.507,0.005,0.018,0.005,0.512,0.025,0.479,2.916,0.015,0.001,0.009,0.005,0.025,0.047,0.485,0.014,0.028,1.076,392.659,212.370,2001.507
195,252.693,172.121,8.192,44.221,2.398,0.054,0.001,0.053,1.469,297.018,-44.325,139.418,95.093,0.342,0.118,0.076,0.094,1.145,0.018,0.064,0.018,1.164,0.204,0.906,7.763,0.169,0.051,0.101,0.016,0.186,0.426,1.574,0.168,0.239,1.301,474.933,82.776,2001.507
196,245.814,167.194,6.349,45.407,2.816,0.057,0.006,0.051,-0.260,289.721,-43.906,135.427,91.521,0.329,0.110,0.069,0.085,0.988,0.641,11.038,0.460,1.448,0.291,1.059,9.481,0.241,0.093,0.128,0.020,0.256,0.533,2.007,0.240,-0.071,1.362,497.230,23.221,2001.507
197,248.666,175.330,7.940,43.159,2.594,0.049,0.001,0.048,0.973,294.885,-46.219,142.017,95.798,0.345,0.121,0.075,0.094,1.145,0.018,0.064,0.018,1.164,0.204,0.906,7.763,0.169,0.051,0.101,0.016,0.186,0.426,1.574,0.168,0.239,1.182,431.562,39.406,2001.507
198,245.153,176.938,7.296,42.691,2.832,0.046,0.003,0.043,0.294,292.004,-46.851,143.319,96.468,0.347,0.121,0.072,0.093,0.722,0.005,0.018,0.005,0.727,0.061,0.645,4.357,0.044,0.009,0.027,0.008,0.060,0.123,0.831,0.043,0.077,1.101,401.996,150.925,2001.507
199,285.019,172.348,13.315,37.915,3.510,0.016,0.000,0.016,6.877,321.111,-36.091,139.602,103.511,0.373,0.174,0.103,0.116,0.253,0.004,0.017,0.004,0.257,0.006,0.258,1.425,0.003,0.000,0.001,0.002,0.006,0.010,0.173,0.003,-0.004,0.392,143.061,47.966,2001.507
200,284.646,172.433,13.493,38.666,3.570,0.015,0.000,0.015,6.827,320.896,-36.250,139.670,103.420,0.372,0.177,0.104,0.117,0.253,0.004,0.017,0.004,0.257,0.006,0.258,1.425,0.003,0.000,0.001,0.002,0.006,0.010,0.173,0.003,-0.004,0.358,130.762,35.667,2001.507
201,279.367,173.023,12.824,37.571,3.894,0.021,0.000,0.020,-inf,318.090,-38.724,140.149,101.425,0.365,0.178,0.101,0.113,0.437,0.007,0.036,0.007,0.444,0.019,0.422,2.438,0.012,0.001,0.007,0.004,0.019,0.037,0.368,0.012,0.015,0.496,180.985,22.743,2001.507
202,279.785,174.249,13.004,37.884,4.036,0.016,0.000,0.016,6.197,318.039,-38.255,141.142,102.887,0.370,0.182,0.102,0.115,0.348,0.009,0.072,0.009,0.358,0.012,0.344,2.036,0.008,0.002,0.003,0.003,0.010,0.019,0.270,0.007,0.004,0.391,142.890,14.694,2001.507
