catchment_id,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
56,393.527,252.730,28.563,63.887,2.917,0.132,0.000,0.132,23.543,410.546,-17.019,204.711,187.692,0.676,0.274,0.229,0.270,3.239,0.000,0.000,0.000,3.239,0.540,2.648,6.766,0.491,0.252,0.206,0.033,0.476,0.856,3.283,0.490,0.590,3.171,1157.371,11.879,2001.500
57,401.216,250.822,29.119,63.260,2.684,0.149,0.000,0.149,24.680,414.696,-13.480,203.165,189.685,0.683,0.276,0.236,0.274,3.239,0.000,0.000,0.000,3.239,0.540,2.648,6.766,0.491,0.252,0.206,0.033,0.476,0.856,3.283,0.490,0.590,3.576,1305.232,159.740,2001.500
58,400.215,252.182,28.826,65.920,3.095,0.142,0.000,0.142,24.196,415.734,-15.519,204.267,188.748,0.679,0.274,0.233,0.272,3.235,0.000,0.000,0.000,3.235,0.491,2.692,6.555,0.442,0.204,0.204,0.034,0.432,0.852,3.392,0.441,0.543,3.411,1244.905,101.102,2001.500
59,362.838,272.065,26.614,49.077,2.663,0.090,0.000,0.090,19.948,386.101,-23.263,220.373,197.110,0.710,0.303,0.209,0.276,0.619,0.000,0.000,0.000,0.619,0.029,0.585,1.331,0.040,0.002,0.014,0.024,0.029,0.065,2.376,0.040,0.033,2.172,792.779,564.366,2001.500
60,399.490,253.191,29.093,58.536,2.369,0.152,0.000,0.152,24.461,410.862,-11.373,205.084,193.712,0.697,0.284,0.236,0.280,3.239,0.000,0.000,0.000,3.239,0.540,2.648,6.766,0.491,0.252,0.206,0.033,0.476,0.856,3.283,0.490,0.590,3.657,1334.942,189.450,2001.500
61,362.883,270.743,25.551,53.345,2.393,0.125,0.000,0.125,19.339,382.262,-19.379,219.302,199.923,0.720,0.284,0.197,0.276,0.041,0.000,0.000,0.000,0.041,0.002,0.040,0.092,0.023,0.000,0.001,0.021,0.002,0.004,2.127,0.023,0.001,2.995,1093.239,1070.505,2001.500
62,368.497,268.861,26.195,54.816,2.408,0.120,0.000,0.120,20.236,386.845,-18.347,217.777,199.430,0.718,0.285,0.203,0.278,0.213,0.000,0.000,0.000,0.213,0.021,0.189,0.468,0.032,0.009,0.007,0.016,0.016,0.030,1.610,0.032,0.024,2.873,1048.711,967.845,2001.500
63,350.600,285.336,25.478,50.072,2.867,0.061,0.000,0.061,18.609,378.212,-27.612,231.122,203.510,0.733,0.303,0.195,0.281,0.619,0.000,0.000,0.000,0.619,0.029,0.585,1.331,0.040,0.002,0.014,0.024,0.029,0.065,2.376,0.040,0.033,1.459,532.638,304.224,2001.500
64,341.589,289.049,24.759,46.204,2.854,0.061,0.000,0.061,17.313,371.648,-30.059,234.129,204.071,0.735,0.308,0.188,0.279,0.213,0.000,0.000,0.000,0.213,0.021,0.189,0.468,0.032,0.009,0.007,0.016,0.016,0.030,1.610,0.032,0.024,1.465,534.633,453.767,2001.500
65,339.925,288.495,24.578,45.590,2.737,0.061,0.000,0.061,17.103,370.576,-30.651,233.681,203.029,0.731,0.305,0.186,0.277,0.213,0.000,0.000,0.000,0.213,0.021,0.189,0.468,0.032,0.009,0.007,0.016,0.016,0.030,1.610,0.032,0.024,1.456,531.610,450.744,2001.500
66,325.021,301.820,23.083,40.599,3.040,0.044,0.000,0.044,14.926,359.630,-34.609,244.474,209.865,0.756,0.317,0.172,0.280,0.045,0.000,0.000,0.000,0.045,0.002,0.044,0.093,0.024,0.000,0.001,0.022,0.002,0.005,2.200,0.024,0.002,1.045,381.438,356.901,2001.500
67,335.337,293.439,24.143,45.708,2.904,0.048,0.000,0.048,16.666,368.294,-32.957,237.686,204.729,0.737,0.306,0.182,0.278,0.619,0.000,0.000,0.000,0.619,0.029,0.585,1.331,0.040,0.002,0.014,0.024,0.029,0.065,2.376,0.040,0.033,1.163,424.641,196.228,2001.500
68,318.291,311.160,23.383,34.961,3.282,0.025,0.000,0.025,14.460,357.185,-38.894,252.039,213.145,0.767,0.340,0.175,0.286,0.041,0.000,0.000,0.000,0.041,0.002,0.040,0.092,0.023,0.000,0.001,0.021,0.002,0.004,2.127,0.023,0.001,0.600,218.935,196.201,2001.500
69,326.661,301.102,24.257,38.865,3.119,0.038,0.000,0.038,15.667,363.250,-36.589,243.893,207.304,0.746,0.331,0.183,0.282,0.213,0.000,0.000,0.000,0.213,0.021,0.189,0.468,0.032,0.009,0.007,0.016,0.016,0.030,1.610,0.032,0.024,0.916,334.352,253.486,2001.500
70,318.147,306.465,23.618,34.814,3.355,0.031,0.000,0.031,14.399,356.919,-38.772,248.237,209.465,0.754,0.342,0.177,0.282,0.041,0.000,0.000,0.000,0.041,0.002,0.040,0.092,0.023,0.000,0.001,0.021,0.002,0.004,2.127,0.023,0.001,0.736,268.597,245.863,2001.500
